NO,stock,name,sector
405,140520,대창스틸,032401
406,131220,대한과학,074605
407,010170,대한광통신,032803
408,054670,대한뉴팜,032102
409,001070,대한방직,031302
410,023910,대한약품,032102
411,006650,대한유화,032001
412,001440,대한전선,032803
413,084010,대한제강,032401
414,001790,대한제당,031006
415,001130,대한제분,031006
416,003490,대한항공,085101
417,005880,대한해운,085001
418,003830,대한화섬,032005
419,016090,대현,031401
420,069460,대호에이엘,032402
421,021040,대호피앤씨,032401
422,067080,대화제약,032102
423,192080,더블유게임즈,105802
424,012510,더존비즈온,106201
425,213420,덕산네오룩스,032602
426,077360,덕산하이메탈,116409
427,004830,덕성,032202
428,090410,덕신하우징,032501
429,024900,덕양산업,033003
430,194480,데브시스터즈,105802
431,199150,데이터스트림즈,105802
432,183410,데카시스템,032702
433,017680,데코앤이,031401
434,206560,덱스터,105901
435,145720,덴티움,032701
436,008000,도레이케미칼,032005
437,067990,도이치모터스,074501
438,002150,도화엔지니어링,137201
439,100130,동국S&C,032501
440,005160,동국산업,032401
441,001620,동국실업,033003
442,075970,동국알앤에스,032309
443,001230,동국제강,032401
444,086450,동국제약,032102
445,023450,동남합성,032001
446,004140,동방,084903
447,099410,동방선기,033101
448,007590,동방아그로,032003
449,012030,동부,106201
450,005960,동부건설,064102
451,045890,동부라이텍,032804
452,226440,동부스팩3호,116601
453,230490,동부제4호스팩,116601
454,016380,동부제철,032401
455,016610,동부증권,116601
456,000990,동부하이텍,032601
457,005830,동부화재해상보험,116501
458,083370,동북아12호선박투자,147601
459,083380,동북아13호선박투자,147601
460,026960,동서,074603
461,002210,동성제약,032102
462,102260,동성코퍼레이션,137105
463,033500,동성화인텍,032001
464,005190,동성화학,032001
465,025950,동신건설,064102
466,000640,동아쏘시오홀딩스,116409
467,058730,동아에스텍,032501
468,170900,동아에스티,032102
469,088130,동아엘텍,032902
470,028100,동아지질,064201
471,007340,동아타이어공업,032201
472,041930,동아화성,032201
473,001520,동양,032303
474,084670,동양고속,084902
475,030790,동양네트웍스,106201
476,002900,동양물산기업,032902
477,082640,동양생명,116501
478,060380,동양에스텍,032401
479,079960,동양이엔피,032801
480,008970,동양철관,032401
481,228340,동양파일,032303
482,104460,동양피엔에프,032901
483,088910,동우팜투테이블,031001
484,094170,동운아나텍,032601
485,003580,동원,020702
486,049770,동원F&B,031007
487,013120,동원개발,064101
488,018500,동원금속,033003
489,006040,동원산업,010301
490,030720,동원수산,010301
491,014820,동원시스템즈,032202
492,163560,동일고무벨트,032201
493,109860,동일금속,032403
494,032960,동일기연,032602
495,001530,동일방직,031301
496,004890,동일산업,032401
497,002690,동일제강,032401
498,023790,동일철강,032401
499,005290,동진쎄미켐,032001
500,025900,동화기업,031602
501,000020,동화약품,032102
502,000150,두산,137105
503,011160,두산건설,064101
504,241560,두산밥캣,116409
505,082740,두산엔진,032901
506,042670,두산인프라코어,032902
507,034020,두산중공업,032901
508,016740,두올,033003
509,078590,두올산업,033003
510,176750,듀켐바이오,032102
511,030350,드래곤플라이,105802
512,203650,드림시큐리티,105802
513,220110,드림티엔터테인먼트,137309
514,073190,디비케이,033201
515,066670,디스플레이텍,032602
516,024090,디씨엠,032401
517,003160,디아이,032702
518,092200,디아이씨,033003
519,214680,디알텍,032701
520,109740,디에스케이,032902
521,090710,디에스티로봇,032902
522,131030,디에이치피코리아,032102
523,196490,디에이테크놀로지,032902
524,066900,디에이피,032602
525,127120,디엔에이링크,137001
526,092070,디엔에프,032004
527,101000,디엠씨,032902
528,134580,디엠티,032604
529,039840,디오,032701
530,013570,디와이,116409
531,210540,디와이파워,032902
532,079810,디이엔티,032902
533,113810,디젠스,033003
534,043360,디지아이,032603
535,197140,디지캡,105802
536,106520,디지탈옵틱,032703
537,068930,디지털대성,168505
538,033130,디지틀조선,106301
539,033310,디케이디앤아이,032509
540,105740,디케이락,032901
541,187220,디티앤씨,137209
542,026890,디피씨,032801
543,189700,디피앤케이,031401
544,131180,딜리,032603
545,042510,라온시큐어,105802
546,232680,라온테크,032902
547,050120,라이브플렉스,074604
548,171120,라이온켐텍,032004
549,069540,라이트론,032604
550,115390,락앤락,032202
551,200350,래몽래인,105901
552,171010,램테크놀러지,032001
553,084650,랩지노믹스,137001
554,092590,럭스피아,032601
555,141080,레고켐바이오,137001
556,060300,레드로버,105901
557,038390,레드캡투어,147502
558,228850,레이언스,032701
559,047440,레이젠,032602
560,238120,로고스바이오,032703
561,090360,로보스타,032902
562,238500,로보쓰리,137309
563,900260,로스웰,116409
564,016170,로엔,031802
565,067730,로지시스,106201
566,071280,로체시스템즈,032801
567,032350,롯데관광개발,147502
568,000400,롯데손해보험,116501
569,023530,롯데쇼핑,074701
570,004000,롯데정밀화학,032001
571,004990,롯데제과,031007
572,005300,롯데칠성음료,031102
573,011170,롯데케미칼,032001
574,002270,롯데푸드,031005
575,071840,롯데하이마트,074703
576,038060,루멘스,032601
577,082800,루미마이크로,032601
578,162120,루켄테크놀러지스,032902
579,085370,루트로닉,032701
580,060240,룽투코리아,105802
581,042940,르네코,064203
582,058470,리노공업,032602
583,039980,리노스,074704
584,016100,리더스코스메틱,032004
585,197210,리드,032902
586,012700,리드코프,074607
587,038340,리젠,032802
588,131100,리켐,032001
589,042500,링네트,106201
590,219420,링크제니시스,105802
591,027740,마니커,031001
592,098120,마이크로컨텍솔,032602
593,147760,마이크로프랜드,032702
594,035480,마제스타,189102
595,038290,마크로젠,137309
596,204320,만도,033003
597,001080,만호제강,032401
598,267980,매일유업,031005
599,005990,매일홀딩스,116409
600,127160,매직마이크로,032602
